id,match_id,period,minute,second,timestamp,possession,possession_team,duration,team,player,jersey_number,type,bodypart,start_x,start_y,end_x,end_y,end_z,play_pattern,under_pressure,position,shot_statsbomb_xg,shot_technique,shot_first_time,shot_outcome,shot_type,pass_type,pass_angle,pass_length,home_team_x,away_team_x,home_away,goal_home,goal_away,home_score_x,away_score_x,scoreline,start_x_video,start_y_video,end_x_video,end_y_video,Status,kick_off_offset,match_date,kick_off,competition,season,home_team_y,away_team_y,home_score_y,away_score_y,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version,offset_1hz,offset_2hz,exclude_from_cutting,Notes,playing_direction_hometeam_1sthalf,rating_count
f7a08e95-9fcd-4fab-a286-a201d93e4761,3939992,1,17,52,00:17:52.333,27,Paraguay,1.643648,Paraguay,Miguel Ángel Almirón Rejala,10,Cross,Left Foot,98.5,15.5,116.9,46.9,,From Free Kick,,Right Wing,,,,,,Free Kick,1.0407441,36.393955,Costa Rica,Paraguay,away,0,0,0,0,0,,,,,"1 - Spiel verfügbar, download",00:07:38,2024-07-03,04:00:00.000,South America - Copa America,2024,Costa Rica,Paraguay,2,1,available,unscheduled,2024-07-11T16:40:19.575131,,3,Group Stage,Q2 Stadium,Yael Falcón Pérez,Gustavo Julio Alfaro,Daniel Oscar Garnero,1.1.0,2.0,2.0,00:07:38,00:54:51,,,,2
367eecd4-3039-4da0-9a02-d206df8615c0,3939992,1,23,9,00:23:09.786,39,Paraguay,0.988763,Paraguay,Miguel Ángel Almirón Rejala,10,Pass,Left Foot,82.6,11.8,96.4,7.7,,From Corner,,Right Wing,,,,,,,-0.28879547,14.39618,Costa Rica,Paraguay,away,0,0,0,0,0,,,,,"1 - Spiel verfügbar, download",00:07:38,2024-07-03,04:00:00.000,South America - Copa America,2024,Costa Rica,Paraguay,2,1,available,unscheduled,2024-07-11T16:40:19.575131,,3,Group Stage,Q2 Stadium,Yael Falcón Pérez,Gustavo Julio Alfaro,Daniel Oscar Garnero,1.1.0,2.0,2.0,00:07:38,00:54:51,,,,2
2b6117b2-807d-4fc9-903b-e7033743eb6c,3939992,1,28,57,00:28:57.080,47,Paraguay,0.968201,Paraguay,Adam Fernando Bareiro Gamarra,9,Pass,Right Foot,52.5,5.9,44.8,3.8,,From Throw In,,Center Forward,,,,,,,-2.8753407,7.981228,Costa Rica,Paraguay,away,0,0,0,0,0,,,,,"1 - Spiel verfügbar, download",00:07:38,2024-07-03,04:00:00.000,South America - Copa America,2024,Costa Rica,Paraguay,2,1,available,unscheduled,2024-07-11T16:40:19.575131,,3,Group Stage,Q2 Stadium,Yael Falcón Pérez,Gustavo Julio Alfaro,Daniel Oscar Garnero,1.1.0,2.0,2.0,00:07:38,00:54:51,,,,2
7fa189e5-4000-41c4-b1a9-1e4f4c0621a0,3939992,1,21,25,00:21:25.369,34,Costa Rica,1.42813,Paraguay,Víctor Gustavo Velázquez Ramos,25,Pass,Right Foot,44.2,78.0,75.8,73.9,,From Free Kick,True,Right Back,,,,,,,-0.12902604,31.86487,Costa Rica,Paraguay,away,0,0,0,0,0,,,,,"1 - Spiel verfügbar, download",00:07:38,2024-07-03,04:00:00.000,South America - Copa America,2024,Costa Rica,Paraguay,2,1,available,unscheduled,2024-07-11T16:40:19.575131,,3,Group Stage,Q2 Stadium,Yael Falcón Pérez,Gustavo Julio Alfaro,Daniel Oscar Garnero,1.1.0,2.0,2.0,00:07:38,00:54:51,,,,2
a03a3357-c792-4709-95bb-534d693b239e,3939992,1,36,16,00:36:16.925,62,Paraguay,0.440184,Paraguay,Víctor Gustavo Velázquez Ramos,25,Pass,Left Foot,84.7,52.3,86.9,44.3,,Regular Play,,Right Back,,,,,,,-1.3024302,8.296988,Costa Rica,Paraguay,away,0,0,0,0,0,,,,,"1 - Spiel verfügbar, download",00:07:38,2024-07-03,04:00:00.000,South America - Copa America,2024,Costa Rica,Paraguay,2,1,available,unscheduled,2024-07-11T16:40:19.575131,,3,Group Stage,Q2 Stadium,Yael Falcón Pérez,Gustavo Julio Alfaro,Daniel Oscar Garnero,1.1.0,2.0,2.0,00:07:38,00:54:51,,,,2
7149747d-daa5-47de-a436-73a0c0f877cc,3939992,2,59,27,00:14:27.459,102,Paraguay,1.275504,Paraguay,Víctor Gustavo Velázquez Ramos,25,Pass,Right Foot,47.7,67.7,26.4,54.3,,From Free Kick,,Right Back,,,,,,,-2.5800447,25.16446,Costa Rica,Paraguay,away,0,0,0,0,0,,,,,"1 - Spiel verfügbar, download",00:07:38,2024-07-03,04:00:00.000,South America - Copa America,2024,Costa Rica,Paraguay,2,1,available,unscheduled,2024-07-11T16:40:19.575131,,3,Group Stage,Q2 Stadium,Yael Falcón Pérez,Gustavo Julio Alfaro,Daniel Oscar Garnero,1.1.0,2.0,2.0,00:07:38,00:54:51,,,,1
5f34a31e-7bd3-4c2e-afbf-e4c45cc9d859,3939992,1,1,14,00:01:14.824,4,Costa Rica,0.0,Paraguay,Víctor Gustavo Velázquez Ramos,25,Dribble,,57.8,77.8,,,,From Throw In,True,Right Back,,,,,,,,,Costa Rica,Paraguay,away,0,0,0,0,0,,,,,"1 - Spiel verfügbar, download",00:07:38,2024-07-03,04:00:00.000,South America - Copa America,2024,Costa Rica,Paraguay,2,1,available,unscheduled,2024-07-11T16:40:19.575131,,3,Group Stage,Q2 Stadium,Yael Falcón Pérez,Gustavo Julio Alfaro,Daniel Oscar Garnero,1.1.0,2.0,2.0,00:07:38,00:54:51,,,,2
47f9aba4-5b15-4b85-b8af-3d9f2b3f9a13,3939992,1,12,54,00:12:54.145,19,Costa Rica,4.622542,Paraguay,Omar Federico Alderete Fernández,3,Pass,Left Foot,25.1,21.7,84.3,11.9,,From Goal Kick,,Left Center Back,,,,,,,-0.16405278,60.005665,Costa Rica,Paraguay,away,0,0,0,0,0,,,,,"1 - Spiel verfügbar, download",00:07:38,2024-07-03,04:00:00.000,South America - Copa America,2024,Costa Rica,Paraguay,2,1,available,unscheduled,2024-07-11T16:40:19.575131,,3,Group Stage,Q2 Stadium,Yael Falcón Pérez,Gustavo Julio Alfaro,Daniel Oscar Garnero,1.1.0,2.0,2.0,00:07:38,00:54:51,,,,2
b2eac915-fc2e-4195-bc06-5c0ec3bb19cb,3939992,2,45,31,00:00:31.492,79,Paraguay,1.536613,Paraguay,Omar Federico Alderete Fernández,3,Pass,Left Foot,61.6,0.7,81.0,1.3,,From Kick Off,True,Left Center Back,,,,,,,0.03091798,19.409277,Costa Rica,Paraguay,away,0,0,0,0,0,,,,,"1 - Spiel verfügbar, download",00:07:38,2024-07-03,04:00:00.000,South America - Copa America,2024,Costa Rica,Paraguay,2,1,available,unscheduled,2024-07-11T16:40:19.575131,,3,Group Stage,Q2 Stadium,Yael Falcón Pérez,Gustavo Julio Alfaro,Daniel Oscar Garnero,1.1.0,2.0,2.0,00:07:38,00:54:51,,,,2
885048eb-4cf1-4777-bfee-b2d5786c54f2,3939992,2,75,7,00:30:07.060,131,Paraguay,1.183821,Paraguay,Omar Federico Alderete Fernández,3,Pass,Left Foot,97.7,25.3,100.6,36.3,,Regular Play,,Left Center Back,,,,,,,1.3130252,11.375852,Costa Rica,Paraguay,away,0,0,0,0,0,,,,,"1 - Spiel verfügbar, download",00:07:38,2024-07-03,04:00:00.000,South America - Copa America,2024,Costa Rica,Paraguay,2,1,available,unscheduled,2024-07-11T16:40:19.575131,,3,Group Stage,Q2 Stadium,Yael Falcón Pérez,Gustavo Julio Alfaro,Daniel Oscar Garnero,1.1.0,2.0,2.0,00:07:38,00:54:51,,,,2
